# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

1.639016190623635 0.02076469735301134 1.6493985393001405 1.6286338419471291 118619
1.618382199296453 0.020503285301352037 1.6286338419471291 1.608130556645777 121069
1.5980079745295568 0.020245164232440604 1.608130556645777 1.5878853924133365 122666
1.577890246055707 0.019990292715259095 1.5878853924133365 1.5678950996980774 125111
1.55802578477789 0.019738629840374555 1.5678950996980774 1.5481564698577028 126686
1.5384114022510158 0.01949013521337406 1.5481564698577028 1.5286663346443288 128496
1.519043950170139 0.019244768948379898 1.5286663346443288 1.5094215656959489 131672
1.499920319865125 0.01900249166164758 1.5094215656959489 1.4904190740343013 132303
1.4810374418016787 0.018763264465245122 1.4904190740343013 1.4716558095690562 135605
1.4623922850886513 0.018527048960810033 1.4716558095690562 1.4531287606082461 136604
1.4439818569915528 0.018293807233386916 1.4531287606082461 1.4348349533748592 140098
1.4258032024521887 0.018063501845341 1.4348349533748592 1.4167714515295182 141995
1.407853403614343 0.017836095830350063 1.4167714515295182 1.3989353556991682 144334
1.3901295793554334 0.017611552687469834 1.3989353556991682 1.3813238030116983 146057
1.3726288848240604 0.017389836375275802 1.3813238030116983 1.3639339666364225 148676
